DATE,MIGRATION                               ,STGPOOL BACKUP                          ,OFFSITE RECLAMATION                     ,RECLAMATION                             ,SW MIGRATION                            
2021-11-05 04:00:09,211.5,0,0,0,0
2021-11-05 04:00:09,271.34375,0,0,0,0
2021-11-05 04:00:09,443.46875,0,0,0,0
2021-11-05 04:05:09,443.46875,6.8984375,0,0,0
2021-11-05 04:54:08,271.34375,6.8984375,0,0,0
2021-11-05 04:55:40,211.5,6.8984375,0,0,0
2021-11-05 04:57:10,211.5,0.0,0,0,0
2021-11-05 06:14:53,0.0,0.0,0,0,0
2021-11-05 08:05:22,0.0,51.03125,0,0,0
2021-11-05 10:05:29,0.0,182.40625,0,0,0
2021-11-05 11:13:29,0.0,51.03125,0,0,0
2021-11-05 11:50:06,0.0,104.5625,0,0,0
2021-11-05 12:00:07,9.9921875,104.5625,0,0,0
2021-11-05 12:00:07,23.8125,104.5625,0,0,0
2021-11-05 12:39:40,9.9921875,104.5625,0,0,0
2021-11-05 12:55:18,0.0,104.5625,0,0,0
2021-11-05 14:38:01,0.0,104.5625,26.3125,0,0
2021-11-05 14:38:01,0.0,104.5625,53.125,0,0
2021-11-05 14:55:46,0.0,104.5625,26.3125,0,0
2021-11-05 15:11:12,0.0,104.5625,0.0,0,0
2021-11-05 16:05:21,0.0,136.328125,0.0,0,0
2021-11-05 16:22:33,0.0,104.5625,0.0,0,0
2021-11-05 20:00:03,96.1875,104.5625,0.0,0,0
2021-11-05 20:00:03,160.4375,104.5625,0.0,0,0
2021-11-05 20:00:03,206.15625,104.5625,0.0,0,0
2021-11-05 20:00:03,355.28125,104.5625,0.0,0,0
2021-11-05 20:29:06,206.15625,104.5625,0.0,0,0
2021-11-05 20:55:09,160.4375,104.5625,0.0,0,0
2021-11-05 20:57:00,96.1875,104.5625,0.0,0,0
2021-11-05 22:05:10,96.1875,167.5,0.0,0,0
2021-11-05 22:51:50,96.1875,113.96875,0.0,0,0
2021-11-05 23:03:16,96.1875,51.03125,0.0,0,0
2021-11-05 23:50:16,96.1875,91.5,0.0,0,0
2021-11-06 04:00:02,284.8125,91.5,0.0,0,0
2021-11-06 04:00:02,455.9375,91.5,0.0,0,0
2021-11-06 04:00:02,539.6875,91.5,0.0,0,0
2021-11-06 04:02:48,443.5,91.5,0.0,0,0
2021-11-06 04:05:03,443.5,92.259765625,0.0,0,0
2021-11-06 04:55:03,359.75,92.259765625,0.0,0,0
2021-11-06 04:59:20,188.625,92.259765625,0.0,0,0
2021-11-06 05:01:23,188.625,91.5,0.0,0,0
2021-11-06 06:47:27,0.0,91.5,0.0,0,0
2021-11-06 10:05:22,0.0,187.75,0.0,0,0
2021-11-06 10:52:51,0.0,147.28125,0.0,0,0
2021-11-06 11:50:18,0.0,51.03125,0.0,0,0
2021-11-06 11:50:28,0.0,95.78125,0.0,0,0
2021-11-06 12:00:29,31.359375,95.78125,0.0,0,0
2021-11-06 12:00:29,133.796875,95.78125,0.0,0,0
2021-11-06 12:55:30,31.359375,95.78125,0.0,0,0
2021-11-06 13:00:30,0.0,95.78125,0.0,0,0
2021-11-06 16:05:12,0.0,168.03125,0.0,0,0
2021-11-06 16:31:14,0.0,95.78125,0.0,0,0
2021-11-06 20:00:24,89.875,95.78125,0.0,0,0
2021-11-06 20:00:24,238.625,95.78125,0.0,0,0
2021-11-06 20:20:25,89.875,95.78125,0.0,0,0
2021-11-06 20:55:29,0.0,95.78125,0.0,0,0
2021-11-06 22:05:00,0.0,186.65625,0.0,0,0
2021-11-06 22:37:46,0.0,95.78125,0.0,0,0
2021-11-06 22:52:18,0.0,51.03125,0.0,0,0
2021-11-06 23:50:06,0.0,99.78125,0.0,0,0
2021-11-07 04:00:22,61.25,99.78125,0.0,0,0
2021-11-07 04:00:22,196.625,99.78125,0.0,0,0
2021-11-07 04:55:26,135.375,99.78125,0.0,0,0
2021-11-07 05:00:26,0.0,99.78125,0.0,0,0
2021-11-07 06:14:04,2858.0,99.78125,0.0,0,0
2021-11-07 06:28:00,0.0,99.78125,0.0,0,0
2021-11-07 10:05:12,0.0,236.28125,0.0,0,0
2021-11-07 10:51:19,0.0,187.53125,0.0,0,0
2021-11-07 11:04:44,0.0,51.03125,0.0,0,0
2021-11-07 11:50:18,0.0,86.9375,0.0,0,0
2021-11-07 12:00:19,101.5,86.9375,0.0,0,0
2021-11-07 12:00:19,165.28125,86.9375,0.0,0,0
2021-11-07 12:00:19,325.53125,86.9375,0.0,0,0
2021-11-07 12:35:37,165.28125,86.9375,0.0,0,0
